gene_symbol,logfc_dz:581,logfc_dz:893,logfc_dz:882,logfc_dz:274,logfc_dz:9,logfc_dz:895,mean_logfc,median_logfc,common_experiment,organism
STARD7,0.034008581191301346,,,,,,0.034008581191301346,0.034008581191301346,,human
PYGM,0.0339067317545414,,,,,,0.0339067317545414,0.0339067317545414,,human
NSA2,0.03371654823422432,,-0.03515571355819702,,-0.02858259528875351,,-0.010007253537575403,-0.02858259528875351,,human
SERINC1,0.0331246517598629,,-0.07236677408218384,,,,-0.01962106116116047,-0.01962106116116047,,human
RPS27,0.03271148353815079,,,,0.025005342438817024,,0.028858412988483906,0.028858412988483906,,human
LUM,0.03251437842845917,,,,,,0.03251437842845917,0.03251437842845917,,human
MORF4L1,0.032439250499010086,,,,0.012049935758113861,,0.022244593128561974,0.022244593128561974,,human
FAU,0.03232221677899361,,0.02321648970246315,-0.024030791595578194,-0.02351011522114277,,0.0019994499161839485,-0.00014681275933980942,,human
PKM,0.03225565701723099,,,,,,0.03225565701723099,0.03225565701723099,,human
NRAP,0.032128360122442245,,,,,,0.032128360122442245,0.032128360122442245,,human
B2M,0.03171609342098236,,-0.021848322823643684,0.09323698282241821,-0.026483600959181786,,0.019155288115143776,0.004933885298669338,,human
GBE1,0.031389348208904266,,,0.06187015771865845,,,0.04662975296378136,0.04662975296378136,,human
FAM47E,0.030907366424798965,,,,,,0.030907366424798965,0.030907366424798965,,human
CKM,0.030753394588828087,,,,,,0.030753394588828087,0.030753394588828087,,human
DUSP26,0.030720127746462822,0.02867818996310234,,,,,0.02969915885478258,0.02969915885478258,,human
TRDN,0.030494600534439087,,,,,,0.030494600534439087,0.030494600534439087,,human
FHL1,0.029231393709778786,,0.026484597474336624,0.024325065314769745,,,0.02668035216629505,0.026484597474336624,,human
LOC100129361,0.028701039031147957,,,,0.020521491765975952,,0.024611265398561954,0.024611265398561954,,human
DBI,0.02838192693889141,,,,,,0.02838192693889141,0.02838192693889141,,human
MEF2C,0.027953773736953735,,,,,,0.027953773736953735,0.027953773736953735,,human
APOBEC2,0.02784099243581295,,,,,,0.02784099243581295,0.02784099243581295,,human
CCP110,0.027678322046995163,,,,,,0.027678322046995163,0.027678322046995163,,human
JADE3,0.02748815342783928,,,,,,0.02748815342783928,0.02748815342783928,,human
FABP3,0.02731490693986416,,,,,,0.02731490693986416,0.02731490693986416,,human
FXR1,0.02691992186009884,,,,,,0.02691992186009884,0.02691992186009884,,human
DEPTOR,0.026856301352381706,,,,,,0.026856301352381706,0.026856301352381706,,human
PRDX1,0.02684328332543373,,0.01873629353940487,,,,0.0227897884324193,0.0227897884324193,,human
COL3A1,0.026780331507325172,,,0.07487856596708298,,,0.050829448737204075,0.050829448737204075,,human
SSPN,0.026721326634287834,,,,,,0.026721326634287834,0.026721326634287834,,human
SUPT20H,0.026650724932551384,,,,,,0.026650724932551384,0.026650724932551384,,human
KLHL41,0.026114102452993393,,,,,,0.026114102452993393,0.026114102452993393,,human
ANKRD2,0.025715814903378487,,,,,,0.025715814903378487,0.025715814903378487,,human
GBAS,0.02565085142850876,,,,,,0.02565085142850876,0.02565085142850876,,human
