gene_symbol,logfc_dz:827,logfc_dz:753,logfc_dz:635,logfc_dz:828,logfc_dz:829,logfc_dz:830,logfc_dz:634,logfc_dz:467,logfc_dz:318,logfc_dz:712,logfc_dz:713,logfc_dz:714,logfc_dz:715,logfc_dz:565,logfc_dz:567,logfc_dz:568,logfc_dz:729,logfc_dz:566,mean_logfc,median_logfc,common_experiment,organism,signature_type
PPBP,,,,,,,,,,,-0.0443464405834674,-0.0249078720808029,-0.144434705376625,0.0664922073483467,,0.0769382715225219,-0.2568542063236236,0.0513792261481285,-0.0393905027636459,-0.0249078720808029,,human,DOWN
H3F3AP4,,,,,,,,,,-0.0435798987746238,-0.0513736903667449,-0.0222596358507871,,,,,-0.0563342943787574,-0.0231264419853687,-0.0393347922712564,-0.0435798987746238,,human,DOWN
RPL21,0.0088966889306902,0.0184982251375913,,,,-0.0080950949341058,0.015491409227252,,,-0.0656196773052215,-0.1205498352646827,-0.0705428943037986,-0.0896722301840782,,,,,,-0.0389491760870441,-0.0368573861196637,0.0088966889306902,human,DOWN
DCUN1D1,,,,,,,,,,,,,,,-0.0372378081083297,-0.0404900610446929,,,-0.0388639345765113,-0.0388639345765113,,human,DOWN
LGALSL,,,,,,,,,,,,,,,-0.0460918173193931,,,-0.0314032696187496,-0.0387475434690713,-0.0387475434690713,,human,DOWN
LAPTM5,,-0.0233588851988315,,,,,,,,-0.0146063137799501,-0.0427117943763732,,-0.0285338591784238,-0.0312047898769378,-0.0168344732373952,-0.0824896022677421,-0.0687068328261375,,-0.0385558188427239,-0.0298693245276808,,human,DOWN
EIF3L,,-0.0390278957784175,,,,,,,,,,,,,-0.0254651792347431,-0.0504364930093288,,,-0.0383098560074965,-0.0390278957784175,,human,DOWN
CNPPD1,,,,,,,,,,,,,,,-0.0381682813167572,,,,-0.0381682813167572,-0.0381682813167572,,human,DOWN
MTRNR2L6,-0.0952059775590896,,-0.0868309289216995,-0.067961074411869,-0.1832227557897567,0.1429079174995422,-0.0996618196368217,0.1233004257082939,,,,,,,,,,,-0.0380963161587715,-0.0868309289216995,-0.0952059775590896,human,DOWN
CD53,,-0.0212378706783056,,,,,,,,,-0.0078866854310035,,,-0.0231340639293193,-0.0727130100131034,-0.0655054301023483,,,-0.038095412030816,-0.0231340639293193,,human,DOWN
RMND5A,,,,,,,,,,,,,,-0.0434909090399742,,-0.0326087661087513,,,-0.0380498375743627,-0.0380498375743627,,human,DOWN
CCDC39,,,,,,,,,-0.0380171798169612,,,,,,,,,,-0.0380171798169612,-0.0380171798169612,,human,DOWN
IER2,-0.158056691288948,0.009425395168364,0.0102596431970596,-0.0673149451613426,,-0.0205024778842926,-0.1266322433948516,-0.059157907962799,0.0156324189156293,,-0.0133703025057911,,-0.024255234748125,,,,0.0165317468345165,,-0.0379491453482346,-0.0205024778842926,-0.158056691288948,human,DOWN
EMR2,,,,,,,,,,,,,,,-0.0386162064969539,,,-0.037266831845045,-0.0379415191709995,-0.0379415191709995,,human,DOWN
MEFV,,,,,,,,,,,-0.0379184000194072,,,,,,,,-0.0379184000194072,-0.0379184000194072,,human,DOWN
LEF1,,,,,,,,,,,,,,-0.0435416884720325,-0.0322012230753898,-0.0378801263868808,,,-0.0378743459781011,-0.0378801263868808,,human,DOWN
RIOK3,,,,,,,,,,,,,,-0.0403798222541809,-0.0292184483259916,-0.032556414604187,,-0.0487498566508293,-0.0377261354587972,-0.0364681184291839,,human,DOWN
FECH,,,,,,,,,,,,,,-0.0383830405771732,-0.0221510883420705,-0.052602220326662,,,-0.0377121164153019,-0.0383830405771732,,human,DOWN
FPR2,,,,,,,,,,,,,,,,-0.0409534759819507,,-0.0344351045787334,-0.0376942902803421,-0.0376942902803421,,human,DOWN
CHP1,,,,,,,,,,,,,,,,-0.0373060181736946,,,-0.0373060181736946,-0.0373060181736946,,human,DOWN
SNCA,,,,,,,,,,,,,,-0.0373083017766475,,-0.0372233539819717,,,-0.0372658278793096,-0.0372658278793096,,human,DOWN
FAM46C,,,,,,,,,,,,,,-0.0161263216286897,,-0.058025799691677,,,-0.0370760606601834,-0.0370760606601834,,human,DOWN
IGKV4-1,,,,,,,,,,,,,,,,,-0.0370760113000869,,-0.0370760113000869,-0.0370760113000869,,human,DOWN
CD44,,,,,,,,,,,,,,-0.0245013311505317,,-0.0495300851762294,,,-0.0370157081633806,-0.0370157081633806,,human,DOWN
RAB27B,,,,,,,,,,,,,,,-0.0525287389755249,,,-0.0214470196515321,-0.0369878793135285,-0.0369878793135285,,human,DOWN
TSPAN5,,,,,,,,,,,,,,-0.0214993357658386,-0.0603549480438232,-0.0395291969180107,,-0.0265101827681064,-0.0369734158739447,-0.0330196898430585,,human,DOWN
