gene_symbol,logfc_dz:769,logfc_dz:768,logfc_dz:548,logfc_dz:853,logfc_dz:855,logfc_dz:891,logfc_dz:892,logfc_dz:854,logfc_dz:543,logfc_dz:767,logfc_dz:542,logfc_dz:465,logfc_dz:852,logfc_dz:547,logfc_dz:549,logfc_dz:545,mean_logfc,median_logfc,common_experiment,organism,signature_type
BBS4,-0.0324679166078567,,,,,,,,,,,,,,,,-0.0324679166078567,-0.0324679166078567,-0.0324679166078567,human,DOWN
HHIPL2,,,,,,,,,,,,,,-0.0324368067085742,,,-0.0324368067085742,-0.0324368067085742,,human,DOWN
MYL5,-0.0324111953377723,,,,,,,,,,,,,,,,-0.0324111953377723,-0.0324111953377723,-0.0324111953377723,human,DOWN
CHST2,,,-0.0323788598179817,,,,,,,,,,,,,,-0.0323788598179817,-0.0323788598179817,,human,DOWN
TRH,,,,,,,,,,,,,,-0.032292116433382,,,-0.032292116433382,-0.032292116433382,,human,DOWN
RGCC,,,,,-0.05025440081954,,,-0.0143164852634072,,,,,,,,,-0.0322854430414736,-0.0322854430414736,,human,DOWN
BHLHE40,,,,,,,,,,,,,,,,-0.0321594960987567,-0.0321594960987567,-0.0321594960987567,,human,DOWN
AATK,,,,,,,,-0.0492144301533699,,,,-0.0228199213743209,-0.024074874818325,,,,-0.0320364087820053,-0.024074874818325,,human,DOWN
HLA-DPB1,,-0.0172652956098318,-0.0728775262832641,-0.0217738486826419,,,,,-0.0195282772183418,,,,,,-0.0287220682948827,,-0.0320334032177925,-0.0217738486826419,,human,DOWN
ST8SIA1,,,,,,,,,,,,,,-0.0318912900984287,,,-0.0318912900984287,-0.0318912900984287,,human,DOWN
CD164,,,,,,,,,,,,,,,-0.0317709408700466,,-0.0317709408700466,-0.0317709408700466,,human,DOWN
MKKS,-0.0317508392035961,,,,,,,,,,,,,,,,-0.0317508392035961,-0.0317508392035961,-0.0317508392035961,human,DOWN
B3GALT2,-0.0351597182452678,-0.0216921884566545,,,,,,,-0.0381650775671005,,,,,,,,-0.0316723280896743,-0.0351597182452678,-0.0351597182452678,human,DOWN
NBL1,,,,,,,,,,,,-0.0316609628498554,,,,,-0.0316609628498554,-0.0316609628498554,,human,DOWN
AMPH,,,,,,,,,,,,-0.0315959677100181,,,,,-0.0315959677100181,-0.0315959677100181,,human,DOWN
NME5,-0.030365215614438,-0.025434112176299,,,,,,,-0.0389479883015155,,,,,,,,-0.0315824386974175,-0.030365215614438,-0.030365215614438,human,DOWN
GSN,,,,,-0.0408456698060035,,,-0.0222775619477033,,,,,,,,,-0.0315616158768534,-0.0315616158768534,,human,DOWN
TTN,,,,,,,,,,,,,,-0.0315294750034809,,,-0.0315294750034809,-0.0315294750034809,,human,DOWN
TIPARP,,,,,,,,,,,-0.0315196625888347,,,,,,-0.0315196625888347,-0.0315196625888347,,human,DOWN
CAPNS1,,,,-0.0442445389926433,-0.0172622613608837,,,-0.0329759381711483,,,,-0.0229610130190849,-0.0403068326413631,,-0.0312465988099575,,-0.0314995304991801,-0.0321112684905529,,human,DOWN
TOX3,,,,,,,,,,-0.0333873257040977,-0.0295067708939313,,,,,,-0.0314470482990145,-0.0314470482990145,,human,DOWN
RNASE2,,,-0.031444564461708,,,,,,,,,,,,,,-0.031444564461708,-0.031444564461708,,human,DOWN
